"","full_name","month","anom.abs"
"325","New Hampshire",1,2.08666940833384
"326","New Hampshire",2,1.77096013389925
"327","New Hampshire",3,1.43136754934837
"328","New Hampshire",4,0.877107279518737
"329","New Hampshire",5,1.07263206242776
"330","New Hampshire",6,0.829862037186075
"331","New Hampshire",7,0.901204588748114
"332","New Hampshire",8,0.836705084212335
"333","New Hampshire",9,0.879920661259194
"334","New Hampshire",10,0.942989293743857
"335","New Hampshire",11,1.1005231824127
"336","New Hampshire",12,1.878947120139
"337","New Jersey",1,2.0346517711911
"338","New Jersey",2,1.61504382890159
"339","New Jersey",3,1.35959791035608
"340","New Jersey",4,0.852707478285318
"341","New Jersey",5,1.03512518235325
"342","New Jersey",6,0.764171342578293
"343","New Jersey",7,0.924284081496668
"344","New Jersey",8,0.936513030750295
"345","New Jersey",9,0.87467543948567
"346","New Jersey",10,0.978514147176061
"347","New Jersey",11,1.23423047834109
"348","New Jersey",12,1.87512302523862
"349","New Mexico",1,1.35496926662692
"350","New Mexico",2,1.13019029241833
"351","New Mexico",3,1.02210449190747
"352","New Mexico",4,1.11335842379811
"353","New Mexico",5,1.31371247589061
"354","New Mexico",6,1.18783296189193
"355","New Mexico",7,0.863320079820726
"356","New Mexico",8,0.901952749213347
"357","New Mexico",9,0.927951390711977
"358","New Mexico",10,0.986432441519272
"359","New Mexico",11,1.11731460728714
"360","New Mexico",12,1.05226657384419
"361","New York",1,2.0646217279397
"362","New York",2,1.68824246124027
"363","New York",3,1.41006720993549
"364","New York",4,0.924308556975703
"365","New York",5,1.14885880215355
"366","New York",6,0.785076293555673
"367","New York",7,0.932103018773104
"368","New York",8,0.911158213302212
"369","New York",9,0.893015266089059
"370","New York",10,0.967893144688594
"371","New York",11,1.21637371452138
"372","New York",12,1.93495249070782
"373","North Carolina",1,1.74141069427544
"374","North Carolina",2,1.38626294577459
"375","North Carolina",3,1.37498900560556
"376","North Carolina",4,1.05702359195849
"377","North Carolina",5,0.988359670085613
"378","North Carolina",6,0.884132234082826
"379","North Carolina",7,0.799431300430491
"380","North Carolina",8,0.913866113886598
"381","North Carolina",9,0.820653105760451
"382","North Carolina",10,1.05162760112535
"383","North Carolina",11,1.3618180310714
"384","North Carolina",12,2.06280259756727
"385","North Dakota",1,3.06455691163477
"386","North Dakota",2,3.35200200180842
"387","North Dakota",3,2.70990661990672
"388","North Dakota",4,1.81873688013265
"389","North Dakota",5,1.40198681327032
"390","North Dakota",6,1.35404491160843
"391","North Dakota",7,1.11383843637876
"392","North Dakota",8,1.25789092262234
"393","North Dakota",9,1.22760262411955
"394","North Dakota",10,1.21296827396911
"395","North Dakota",11,2.42971225238494
"396","North Dakota",12,3.26795328021845
"397","Ohio",1,2.05834490868714
"398","Ohio",2,2.04768398686742
"399","Ohio",3,1.67071345800383
"400","Ohio",4,1.0892938213378
"401","Ohio",5,1.57182656642335
"402","Ohio",6,0.948973430446242
"403","Ohio",7,1.00972333354747
